A	B	C	D	E	F	samples
1e-05	0.820012	1e-05	0.179948	1e-05	1e-05	QX1233
0.137185	1e-05	0.135313	0.604901	1e-05	0.122581	QX1791
0.035422	0.265632	1e-05	0.640338	1e-05	0.058588	QX1792
1e-05	1e-05	1e-05	0.899057	1e-05	0.100903	QX1793
1e-05	0.05906	1e-05	0.9409	1e-05	1e-05	QX1794
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	RC301
1e-05	0.366816	0.290138	0.029768	1e-05	0.313258	WN2001
0.349292	0.383438	0.142192	1e-05	1e-05	0.125059	WN2002
1e-05	0.96451	0.027716	0.007743	1e-05	1e-05	WN2033
0.376286	1e-05	0.623674	1e-05	1e-05	1e-05	WN2050
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	XZ1514
1e-05	0.136124	1e-05	0.7614	0.102446	1e-05	XZ1515
1e-05	1e-05	1e-05	1e-05	0.986949	0.013011	XZ1516
