strain	trait	value
JU1440	q90.temp-12mo	19.2379501385042
JU1440	max.temp-12mo	19.6925207756233
JU1491	min.temp-12mo	6.95041551246537
JU1491	q10.temp-12mo	7.71631578947368
JU1491	q25.temp-12mo	8.58123268698061
JU1491	mean.temp-12mo	10.9910469892405
JU1491	median.temp-12mo	10.7916897506925
JU1491	q75.temp-12mo	13.2431440443213
JU1491	q90.temp-12mo	14.8064265927978
JU1491	max.temp-12mo	15.7443213296399
JU1530	min.temp-12mo	6.10888888888889
JU1530	q10.temp-12mo	6.91783333333333
JU1530	q25.temp-12mo	7.8025
JU1530	mean.temp-12mo	10.1156949854509
JU1530	median.temp-12mo	10.0004166666667
JU1530	q75.temp-12mo	12.3221527777778
JU1530	q90.temp-12mo	13.7442222222222
JU1530	max.temp-12mo	14.6997222222222
JU1543	min.temp-12mo	6.11361111111111
JU1543	q10.temp-12mo	6.92061111111111
JU1543	q25.temp-12mo	7.80243055555556
JU1543	mean.temp-12mo	10.1194793769853
JU1543	median.temp-12mo	10.0048611111111
JU1543	q75.temp-12mo	12.3259027777778
JU1543	q90.temp-12mo	13.7489166666667
JU1543	max.temp-12mo	14.7072222222222
JU1568	min.temp-12mo	8.40304709141274
JU1568	q10.temp-12mo	8.90282548476454
JU1568	q25.temp-12mo	9.70720221606648
JU1568	mean.temp-12mo	11.7185548265421
JU1568	median.temp-12mo	11.6819944598338
JU1568	q75.temp-12mo	13.6901662049862
JU1568	q90.temp-12mo	14.6945152354571
JU1568	max.temp-12mo	15.2927977839335
JU1580	min.temp-12mo	6.14861111111111
JU1580	q10.temp-12mo	6.96761111111111
JU1580	q25.temp-12mo	7.85465277777778
JU1580	mean.temp-12mo	10.2130985788313
JU1580	median.temp-12mo	10.0538888888889
JU1580	q75.temp-12mo	12.4654166666667
JU1580	q90.temp-12mo	13.9261388888889
JU1580	max.temp-12mo	14.8908333333333
JU1581	min.temp-12mo	6.33805555555556
JU1581	q10.temp-12mo	7.13447222222222
JU1581	q25.temp-12mo	8.01423611111111
JU1581	mean.temp-12mo	10.3643743684319
JU1581	median.temp-12mo	10.1876388888889
JU1581	q75.temp-12mo	12.6031944444444
JU1581	q90.temp-12mo	14.0838611111111
JU1581	max.temp-12mo	15.0336111111111
JU1586	min.temp-12mo	6.70138504155125
JU1586	q10.temp-12mo	7.48897506925208
JU1586	q25.temp-12mo	8.38885041551247
JU1586	mean.temp-12mo	10.9075207846233
JU1586	median.temp-12mo	10.6754847645429
JU1586	q75.temp-12mo	13.2569944598338
JU1586	q90.temp-12mo	14.9358725761773
JU1586	max.temp-12mo	15.9024930747922
JU1652	min.temp-12mo	14.4734072022161
JU1652	q10.temp-12mo	15.4758725761773
JU1652	q25.temp-12mo	16.9795706371191
JU1652	mean.temp-12mo	18.5080517082179
JU1652	median.temp-12mo	19.293351800554
JU1652	q75.temp-12mo	20.3923130193906
JU1652	q90.temp-12mo	20.9967590027701
JU1652	max.temp-12mo	21.3997229916897
JU1666	min.temp-12mo	10.8113888888889
JU1666	q10.temp-12mo	11.2573333333333
JU1666	q25.temp-12mo	11.92625
JU1666	mean.temp-12mo	12.528787037037
JU1666	median.temp-12mo	12.6880555555556
JU1666	q75.temp-12mo	13.3168055555556
JU1666	q90.temp-12mo	13.6687222222222
JU1666	max.temp-12mo	13.9033333333333
JU1792	min.temp-12mo	6.92160664819945
JU1792	q10.temp-12mo	7.75914127423823
JU1792	q25.temp-12mo	8.78047091412742
JU1792	mean.temp-12mo	11.4791717453907
JU1792	median.temp-12mo	11.2936288088643
JU1792	q75.temp-12mo	14.0370498614958
JU1792	q90.temp-12mo	15.7598060941828
JU1792	max.temp-12mo	16.7160664819945
JU1793	min.temp-12mo	5.91274238227147
JU1793	q10.temp-12mo	6.79631578947368
JU1793	q25.temp-12mo	7.71558171745152
JU1793	mean.temp-12mo	10.2153645276156
JU1793	median.temp-12mo	10.0148199445983
JU1793	q75.temp-12mo	12.6441135734072
JU1793	q90.temp-12mo	14.0660110803324
JU1793	max.temp-12mo	14.9681440443213
JU1808	min.temp-12mo	8.82742382271468
JU1808	q10.temp-12mo	9.33526315789474
JU1808	q25.temp-12mo	10.1803324099723
JU1808	mean.temp-12mo	12.2572305342022
JU1808	median.temp-12mo	12.2468144044321
JU1808	q75.temp-12mo	14.2220221606648
JU1808	q90.temp-12mo	15.29108033241
JU1808	max.temp-12mo	15.9249307479224
JU1896	min.temp-12mo	15.2360110803324
JU1896	q10.temp-12mo	15.8854293628809
JU1896	q25.temp-12mo	16.9558171745152
JU1896	mean.temp-12mo	18.9596814404432
JU1896	median.temp-12mo	18.7637119113573
JU1896	q75.temp-12mo	21.2170360110803
JU1896	q90.temp-12mo	22.1045983379501
JU1896	max.temp-12mo	22.6498614958449
JU1934	min.temp-12mo	5.77313019390582
JU1934	q10.temp-12mo	6.65221606648199
JU1934	q25.temp-12mo	7.57929362880886
JU1934	mean.temp-12mo	10.1138542803753
JU1934	median.temp-12mo	9.91260387811634
JU1934	q75.temp-12mo	12.5781855955679
JU1934	q90.temp-12mo	14.0151246537396
JU1934	max.temp-12mo	14.9105263157895
JU2001	min.temp-12mo	21.5168975069252
JU2001	q10.temp-12mo	22.06
JU2001	q25.temp-12mo	22.6215373961219
JU2001	mean.temp-12mo	24.368088274549
JU2001	median.temp-12mo	23.885595567867
JU2001	q75.temp-12mo	26.2304709141274
JU2001	q90.temp-12mo	27.1582548476454
JU2001	max.temp-12mo	27.6770083102493
JU2007	min.temp-12mo	7.8814404432133
JU2007	q10.temp-12mo	8.46368421052632
JU2007	q25.temp-12mo	9.26301939058172
JU2007	mean.temp-12mo	10.9074289765395
JU2007	median.temp-12mo	10.8843490304709
JU2007	q75.temp-12mo	12.5047783933518
JU2007	q90.temp-12mo	13.4177008310249
JU2007	max.temp-12mo	14.0501385041551
JU2016	min.temp-12mo	10.2133704735376
JU2016	q10.temp-12mo	10.5908635097493
JU2016	q25.temp-12mo	11.0685236768802
JU2016	mean.temp-12mo	12.0620049679186
JU2016	median.temp-12mo	12.0360724233983
JU2016	q75.temp-12mo	12.9717270194986
JU2016	q90.temp-12mo	13.6020334261838
JU2016	max.temp-12mo	14.1768802228412
JU2017	min.temp-12mo	10.2133704735376
JU2017	q10.temp-12mo	10.5908635097493
JU2017	q25.temp-12mo	11.0685236768802
JU2017	mean.temp-12mo	12.0620049679186
JU2017	median.temp-12mo	12.0360724233983
JU2017	q75.temp-12mo	12.9717270194986
JU2017	q90.temp-12mo	13.6020334261838
JU2017	max.temp-12mo	14.1768802228412
JU2106	min.temp-12mo	8.66260387811634
JU2106	q10.temp-12mo	9.49648199445983
JU2106	q25.temp-12mo	10.6609418282548
JU2106	mean.temp-12mo	14.1310021140801
JU2106	median.temp-12mo	13.8204986149584
JU2106	q75.temp-12mo	17.6540858725762
JU2106	q90.temp-12mo	19.3054016620499
JU2106	max.temp-12mo	20.0299168975069
JU2131	min.temp-12mo	10.9243767313019
JU2131	q10.temp-12mo	11.2819113573407
JU2131	q25.temp-12mo	11.6851800554017
JU2131	mean.temp-12mo	12.613270428577
JU2131	median.temp-12mo	12.4842105263158
JU2131	q75.temp-12mo	13.5048476454294
JU2131	q90.temp-12mo	14.1673130193906
JU2131	max.temp-12mo	14.6612188365651
